path,text,emotion
archive\Actor_03\03-01-05-01-02-01-03.wav, dogs are sitting by the door.,5
archive\Actor_03\03-01-05-01-02-02-03.wav, dogs are sitting by the door.,5
archive\Actor_03\03-01-05-02-01-01-03.wav, kids are talking by the door.,5
archive\Actor_03\03-01-05-02-01-02-03.wav, kids are talking by the door!,5
archive\Actor_03\03-01-05-02-02-01-03.wav, dogs are sitting by the door!,5
archive\Actor_03\03-01-05-02-02-02-03.wav, dogs are sitting by the door!,5
archive\Actor_03\03-01-06-01-01-01-03.wav, kids are talking by the door.,6
archive\Actor_03\03-01-06-01-01-02-03.wav, the kids are talking by the door.,6
archive\Actor_03\03-01-06-01-02-01-03.wav, dogs are sitting by the door.,6
archive\Actor_03\03-01-06-01-02-02-03.wav, dogs are sitting by the door.,6
archive\Actor_03\03-01-06-02-01-01-03.wav, kids are talking about the door!,6
archive\Actor_03\03-01-06-02-01-02-03.wav, the kids are talking by the door.,6
archive\Actor_03\03-01-06-02-02-01-03.wav, dogs are sitting by the door.,6
archive\Actor_03\03-01-06-02-02-02-03.wav, dogs are sitting by the door.,6
archive\Actor_03\03-01-07-01-01-01-03.wav, cuts are talking by the door.,7
archive\Actor_03\03-01-07-01-01-02-03.wav, kids are talking by the door.,7
archive\Actor_03\03-01-07-01-02-01-03.wav, dogs are sitting by the door.,7
archive\Actor_03\03-01-07-01-02-02-03.wav, dogs are sitting by the door.,7
archive\Actor_03\03-01-07-02-01-01-03.wav, kids are talking by the door.,7
archive\Actor_03\03-01-07-02-01-02-03.wav, kids are talking by the door.,7
archive\Actor_03\03-01-07-02-02-01-03.wav, dogs are sitting by the door.,7
archive\Actor_03\03-01-07-02-02-02-03.wav, dogs are sitting by the door.,7
archive\Actor_03\03-01-08-01-01-01-03.wav, kids are talking by the door.,8
archive\Actor_03\03-01-08-01-01-02-03.wav, kids are talking about the door.,8
archive\Actor_03\03-01-08-01-02-01-03.wav, dogs are sitting by the door.,8
archive\Actor_03\03-01-08-01-02-02-03.wav, dogs are sitting by the door.,8
archive\Actor_03\03-01-08-02-01-01-03.wav, kids are talking by the door.,8
archive\Actor_03\03-01-08-02-01-02-03.wav, kids are talking by the door.,8
archive\Actor_03\03-01-08-02-02-01-03.wav, dogs are sitting by the door.,8
archive\Actor_03\03-01-08-02-02-02-03.wav, dogs are sitting by the door.,8
archive\Actor_04\03-01-01-01-01-01-04.wav, kids are talking by the door.,1
archive\Actor_04\03-01-01-01-01-02-04.wav, kids are talking by the door.,1
archive\Actor_04\03-01-01-01-02-01-04.wav, dogs are sitting by the door.,1
archive\Actor_04\03-01-01-01-02-02-04.wav, dogs are sitting by the door.,1
archive\Actor_04\03-01-02-01-01-01-04.wav, kids are talking by the door.,2
archive\Actor_04\03-01-02-01-01-02-04.wav, kids are talking by the door.,2
archive\Actor_04\03-01-02-01-02-01-04.wav, dogs are sitting by the door.,2
archive\Actor_04\03-01-02-01-02-02-04.wav, dogs are sitting by the door.,2
archive\Actor_04\03-01-02-02-01-01-04.wav, kids are talking by the door.,2
archive\Actor_04\03-01-02-02-01-02-04.wav, kids are talking by the door.,2
archive\Actor_04\03-01-02-02-02-01-04.wav, dogs are sitting by the door.,2
archive\Actor_04\03-01-02-02-02-02-04.wav, dogs are sitting by the door.,2
archive\Actor_04\03-01-03-01-01-01-04.wav, kids are talking by the door.,3
archive\Actor_04\03-01-03-01-01-02-04.wav, kids are talking by the door.,3
archive\Actor_04\03-01-03-01-02-01-04.wav, dogs are sitting by the door.,3
archive\Actor_04\03-01-03-01-02-02-04.wav, dogs are sitting by the door.,3
archive\Actor_04\03-01-03-02-01-01-04.wav, kids are talking by the door.,3
archive\Actor_04\03-01-03-02-01-02-04.wav, kids are talking by the door.,3
archive\Actor_04\03-01-03-02-02-01-04.wav, dogs are sitting by the door.,3
archive\Actor_04\03-01-03-02-02-02-04.wav, dogs are sitting by the door.,3
archive\Actor_04\03-01-04-01-01-01-04.wav, kids are talking by the door.,4
archive\Actor_04\03-01-04-01-01-02-04.wav, kids are talking by the door.,4
archive\Actor_04\03-01-04-01-02-01-04.wav, dogs are sitting by the door.,4
archive\Actor_04\03-01-04-01-02-02-04.wav, dogs are sitting by the door.,4
archive\Actor_04\03-01-04-02-01-01-04.wav, kids are talking by the door.,4
archive\Actor_04\03-01-04-02-01-02-04.wav, kids are talking by the door.,4
archive\Actor_04\03-01-04-02-02-01-04.wav, to observe sitting by the door.,4
archive\Actor_04\03-01-04-02-02-02-04.wav," to oxford, you're sitting by the door.",4
archive\Actor_04\03-01-05-01-01-01-04.wav, kids are talking by the door.,5
archive\Actor_04\03-01-05-01-01-02-04.wav, kids are talking by the door.,5
archive\Actor_04\03-01-05-01-02-01-04.wav, dogs are sitting by the door.,5
archive\Actor_04\03-01-05-01-02-02-04.wav, dogs are sitting by the door.,5
archive\Actor_04\03-01-05-02-01-01-04.wav, kids are talking by the door!,5
archive\Actor_04\03-01-05-02-01-02-04.wav, kids are talking about the door.,5
archive\Actor_04\03-01-05-02-02-01-04.wav, dogs are sitting by the door!,5
archive\Actor_04\03-01-05-02-02-02-04.wav, dogs are sitting by the door.,5
archive\Actor_04\03-01-06-01-01-01-04.wav, kids are talking by the door.,6
archive\Actor_04\03-01-06-01-01-02-04.wav, kids are talking by the door.,6
archive\Actor_04\03-01-06-01-02-01-04.wav, dogs are sitting by the door.,6
archive\Actor_04\03-01-06-01-02-02-04.wav, dogs are sitting by the door.,6
archive\Actor_04\03-01-06-02-01-01-04.wav, kids are talking about the door.,6
archive\Actor_04\03-01-06-02-01-02-04.wav, kids are talking by the door.,6
archive\Actor_04\03-01-06-02-02-01-04.wav, dozens are sitting by the door!,6
archive\Actor_04\03-01-06-02-02-02-04.wav, dogs are sitting by the door.,6
archive\Actor_04\03-01-07-01-01-01-04.wav, kids are talking by the door.,7
archive\Actor_04\03-01-07-01-01-02-04.wav, kids are talking about the door.,7
archive\Actor_04\03-01-07-01-02-01-04.wav, dogs are sitting by the door.,7
archive\Actor_04\03-01-07-01-02-02-04.wav, dogs are sitting by the door?,7
archive\Actor_04\03-01-07-02-01-01-04.wav, kids are talking by the door.,7
archive\Actor_04\03-01-07-02-01-02-04.wav, kids are talking about the door.,7
archive\Actor_04\03-01-07-02-02-01-04.wav, dogs are sitting by the door.,7
archive\Actor_04\03-01-07-02-02-02-04.wav, dogs are sitting by the door.,7
archive\Actor_04\03-01-08-01-01-01-04.wav, kids are talking by the door.,8
archive\Actor_04\03-01-08-01-01-02-04.wav, kids are talking by the door.,8
archive\Actor_04\03-01-08-01-02-01-04.wav, dogs are sitting by the door.,8
archive\Actor_04\03-01-08-01-02-02-04.wav, dogs are sitting by the door.,8
archive\Actor_04\03-01-08-02-01-01-04.wav, a kids are talking by the door.,8
archive\Actor_04\03-01-08-02-01-02-04.wav, kids are talking by the door.,8
archive\Actor_04\03-01-08-02-02-01-04.wav, dogs are sitting by the door.,8
archive\Actor_04\03-01-08-02-02-02-04.wav, dogs are sitting by the door.,8
archive\Actor_05\03-01-01-01-01-01-05.wav, kids are talking by the door.,1
archive\Actor_05\03-01-01-01-01-02-05.wav, kids are talking by the door.,1
archive\Actor_05\03-01-01-01-02-01-05.wav, dogs are sitting by the door.,1
archive\Actor_05\03-01-01-01-02-02-05.wav, dogs are sitting by the door.,1
archive\Actor_05\03-01-02-01-01-01-05.wav, kids are talking by the door.,2
archive\Actor_05\03-01-02-01-01-02-05.wav, kids are talking by the door.,2
archive\Actor_05\03-01-02-01-02-01-05.wav, dogs are sitting by the door.,2
archive\Actor_05\03-01-02-01-02-02-05.wav, dogs are sitting by the door.,2
archive\Actor_05\03-01-02-02-01-01-05.wav, kids are talking by the door.,2
archive\Actor_05\03-01-02-02-01-02-05.wav, kids are talking by the door.,2
archive\Actor_05\03-01-02-02-02-01-05.wav, dogs are sitting by the door.,2
archive\Actor_05\03-01-02-02-02-02-05.wav, dogs are sitting by the door.,2
archive\Actor_05\03-01-03-01-01-01-05.wav, kids are talking by the door.,3
archive\Actor_05\03-01-03-01-01-02-05.wav, kids are talking by the door.,3
archive\Actor_05\03-01-03-01-02-01-05.wav, dogs are sitting by the door.,3
archive\Actor_05\03-01-03-01-02-02-05.wav, dogs are sitting by the door.,3
archive\Actor_05\03-01-03-02-01-01-05.wav, kids are talking by the door.,3
archive\Actor_05\03-01-03-02-01-02-05.wav, kids are talking by the door.,3
archive\Actor_05\03-01-03-02-02-01-05.wav, dogs are sitting by the door.,3
archive\Actor_05\03-01-03-02-02-02-05.wav, dogs are sitting by the door.,3
archive\Actor_05\03-01-04-01-01-01-05.wav, kids are talking by the door.,4
archive\Actor_05\03-01-04-01-01-02-05.wav, kids are talking by the door.,4
archive\Actor_05\03-01-04-01-02-01-05.wav, dogs are sitting by the door.,4
archive\Actor_05\03-01-04-01-02-02-05.wav, dogs are sitting by the door.,4
archive\Actor_05\03-01-04-02-01-01-05.wav, kids are talking by the door.,4
archive\Actor_05\03-01-04-02-01-02-05.wav," kids, you're talking by the door.",4
archive\Actor_05\03-01-04-02-02-01-05.wav, tugs are sitting by the door.,4
archive\Actor_05\03-01-04-02-02-02-05.wav, dogs are sitting by the door.,4
archive\Actor_05\03-01-05-01-01-01-05.wav, kids are talking by the door.,5
archive\Actor_05\03-01-05-01-01-02-05.wav, kids are talking by the door.,5
archive\Actor_05\03-01-05-01-02-01-05.wav, dogs are sitting by the door.,5
archive\Actor_05\03-01-05-01-02-02-05.wav, dogs are sitting by the door.,5
archive\Actor_05\03-01-05-02-01-01-05.wav, kids are talking by the door.,5
archive\Actor_05\03-01-05-02-01-02-05.wav, kids are talking by the door.,5
archive\Actor_05\03-01-05-02-02-01-05.wav, dogs are sitting by the door.,5
archive\Actor_05\03-01-05-02-02-02-05.wav, dogs are sitting by the door.,5
archive\Actor_05\03-01-06-01-01-01-05.wav, kids are talking by the door.,6
archive\Actor_05\03-01-06-01-01-02-05.wav, kids are talking by the door.,6
archive\Actor_05\03-01-06-01-02-01-05.wav, dogs are sitting by the door.,6
archive\Actor_05\03-01-06-01-02-02-05.wav, dogs are sitting by the door.,6
archive\Actor_05\03-01-06-02-01-01-05.wav, kids are talking by the door.,6
archive\Actor_05\03-01-06-02-01-02-05.wav, kids are talking by the door.,6
archive\Actor_05\03-01-06-02-02-01-05.wav, dogs are sitting by the door.,6
archive\Actor_05\03-01-06-02-02-02-05.wav, dogs are sitting by the door.,6
archive\Actor_05\03-01-07-01-01-01-05.wav, kids are talking by the door.,7
archive\Actor_05\03-01-07-01-01-02-05.wav, kids are talking by the door.,7
archive\Actor_05\03-01-07-01-02-01-05.wav, dogs are sitting by the door.,7
archive\Actor_05\03-01-07-01-02-02-05.wav, dogs are sitting by the door.,7
archive\Actor_05\03-01-07-02-01-01-05.wav, kids are talking by the door.,7
archive\Actor_05\03-01-07-02-01-02-05.wav, kids are talking by the door.,7
archive\Actor_05\03-01-07-02-02-01-05.wav, dogs are sitting by the door.,7
archive\Actor_05\03-01-07-02-02-02-05.wav, ruh! dogs are sitting by the door.,7
archive\Actor_05\03-01-08-01-01-01-05.wav, kids are talking by the door.,8
archive\Actor_05\03-01-08-01-01-02-05.wav, kids are talking by the door.,8
archive\Actor_05\03-01-08-01-02-01-05.wav, dogs are sitting by the door.,8
archive\Actor_05\03-01-08-01-02-02-05.wav, dogs are sitting by the door.,8
archive\Actor_05\03-01-08-02-01-01-05.wav, kids are talking by the door.,8
archive\Actor_05\03-01-08-02-01-02-05.wav, kids are talking by the door.,8
archive\Actor_05\03-01-08-02-02-01-05.wav, dogs are sitting by the door.,8
archive\Actor_05\03-01-08-02-02-02-05.wav, dogs are sitting by the door.,8
archive\Actor_06\03-01-01-01-01-01-06.wav, kids are talking by the door.,1
archive\Actor_06\03-01-01-01-01-02-06.wav, kids are talking by the door.,1
archive\Actor_06\03-01-01-01-02-01-06.wav, dogs are sitting by the door.,1
archive\Actor_06\03-01-01-01-02-02-06.wav, dogs are sitting by the door.,1
archive\Actor_06\03-01-02-01-01-01-06.wav, kids are talking by the door.,2
archive\Actor_06\03-01-02-01-01-02-06.wav, kids are talking by the door.,2
archive\Actor_06\03-01-02-01-02-01-06.wav, dogs are sitting by the door.,2
archive\Actor_06\03-01-02-01-02-02-06.wav, dogs are sitting by the door.,2
archive\Actor_06\03-01-02-02-01-01-06.wav, kids are talking by the door.,2
archive\Actor_06\03-01-02-02-01-02-06.wav, kids are talking by the door.,2
archive\Actor_06\03-01-02-02-02-01-06.wav, dogs are sitting by the door.,2
archive\Actor_06\03-01-02-02-02-02-06.wav, dogs are sitting by the door.,2
archive\Actor_06\03-01-03-01-01-01-06.wav, kids are talking by the door.,3
archive\Actor_06\03-01-03-01-01-02-06.wav, kids are talking by the door.,3
archive\Actor_06\03-01-03-01-02-01-06.wav, dogs are sitting by the door.,3
archive\Actor_06\03-01-03-01-02-02-06.wav, dogs are sitting by the door.,3
archive\Actor_06\03-01-03-02-01-01-06.wav, kids are talking by the door!,3
archive\Actor_06\03-01-03-02-01-02-06.wav," kid, they're talking by the door!",3
archive\Actor_06\03-01-03-02-02-01-06.wav, dogs are sitting by the door!,3
archive\Actor_06\03-01-03-02-02-02-06.wav, dogs are sitting by the door!,3
archive\Actor_06\03-01-04-01-01-01-06.wav, kids are talking by the door.,4
archive\Actor_06\03-01-04-01-01-02-06.wav, kids are talking by the door.,4
archive\Actor_06\03-01-04-01-02-01-06.wav, dogs are sitting by the door.,4
archive\Actor_06\03-01-04-01-02-02-06.wav, dogs are sitting by the door.,4
archive\Actor_06\03-01-04-02-01-01-06.wav,omer talking my adore,4
archive\Actor_06\03-01-04-02-01-02-06.wav, kids are talking by the door.,4
archive\Actor_06\03-01-04-02-02-01-06.wav, don't talk to her sick by the door.,4
archive\Actor_06\03-01-04-02-02-02-06.wav, dogs are sitting by the door.,4
archive\Actor_06\03-01-05-01-01-01-06.wav, kids are talking by the door.,5
archive\Actor_06\03-01-05-01-01-02-06.wav, kids are talking by the door.,5
archive\Actor_06\03-01-05-01-02-01-06.wav, dogs are sitting by the door.,5
archive\Actor_06\03-01-05-01-02-02-06.wav, dogs are sitting by the door.,5
archive\Actor_06\03-01-05-02-01-01-06.wav, kids are talking by the door!,5
archive\Actor_06\03-01-05-02-01-02-06.wav," kid, that's talking by the door!",5
archive\Actor_06\03-01-05-02-02-01-06.wav, dogs are sitting by the door!,5
archive\Actor_06\03-01-05-02-02-02-06.wav, dogs are sitting by the door!,5
archive\Actor_06\03-01-06-01-01-01-06.wav, kids are talking by the door.,6
archive\Actor_06\03-01-06-01-01-02-06.wav, kids are talking by the door.,6
archive\Actor_06\03-01-06-01-02-01-06.wav, dogs are sitting by the door.,6
archive\Actor_06\03-01-06-01-02-02-06.wav, dogs are sitting by the door.,6
archive\Actor_06\03-01-06-02-01-01-06.wav, kids are talking by the door!,6
archive\Actor_06\03-01-06-02-01-02-06.wav, keatez singing my guitar!,6
archive\Actor_06\03-01-06-02-02-01-06.wav, dogs are sitting by the door!,6
archive\Actor_06\03-01-06-02-02-02-06.wav, don'tussirl you in my god!,6
archive\Actor_06\03-01-07-01-01-01-06.wav, kids are talking by the door.,7
archive\Actor_06\03-01-07-01-01-02-06.wav, kids are talking by the door.,7
archive\Actor_06\03-01-07-01-02-01-06.wav, dogs are sitting by the door.,7
archive\Actor_06\03-01-07-01-02-02-06.wav, dogs who are sitting by the door.,7
archive\Actor_06\03-01-07-02-01-01-06.wav, kids are talking by the door.,7
archive\Actor_06\03-01-07-02-01-02-06.wav, kids are talking by the door.,7
archive\Actor_06\03-01-07-02-02-01-06.wav, dogs are sitting by the door.,7
archive\Actor_06\03-01-07-02-02-02-06.wav, dogs are sitting by the door.,7
archive\Actor_06\03-01-08-01-01-01-06.wav, kids are talking by the door.,8
archive\Actor_06\03-01-08-01-01-02-06.wav, kids are talking by the door.,8
archive\Actor_06\03-01-08-01-02-01-06.wav, dogs are sitting by the door.,8
archive\Actor_06\03-01-08-01-02-02-06.wav, dogs are sitting by the door.,8
archive\Actor_06\03-01-08-02-01-01-06.wav, kids are talking by the door.,8
archive\Actor_06\03-01-08-02-01-02-06.wav, kids are talking by the door.,8
